experiment,auxiliary_group,test_group,total_loss,base_loss,dtw_loss,topk_loss
low+low,low,low,0.703603508943869,0.27268444406563996,0.1293376004535527,0.40169602833047413
low+mid,low,mid,0.8751608487178049,0.30293629163013885,0.17641698070238024,0.49607927549842473
low+high,low,high,0.888717322535989,0.3146090235675142,0.17326755319560036,0.5275538328902148
mid+low,mid,low,0.7031577586566018,0.2724797245838093,0.1291831967002931,0.4021278207424128
mid+mid,mid,mid,0.8744654081170959,0.3023636125608398,0.17636586757607134,0.4960789815447439
mid+high,mid,high,0.8882969085111942,0.3145649481631718,0.17324316506330723,0.526494474253625
high+low,high,low,0.7029727113048602,0.2725133247333968,0.1290339940064589,0.4025926175393267
high+mid,high,mid,0.8743238372415492,0.30259167357379063,0.176107570962615,0.49691323797488807
high+high,high,high,0.8865451848864464,0.31432033633737505,0.17268996072827725,0.5258964041736829
