run,seed,base,dtw,topk,total_without_trend
run_1,1,0.30437,0.16606,0.50286,0.85377
run_2,2,0.30141,0.16678,0.51528,0.85627
run_3,3,0.29985,0.16742,0.50568,0.85336
run_4,4,0.30454,0.16749,0.49619,0.85537
mean±std,,0.30254±0.00230,0.16694±0.00067,0.50500±0.00792,0.85469±0.00137
