experiment,auxiliary_group,test_group,total_loss,base_loss,dtw_loss,topk_loss
low+low,low,low,0.6887741402840305,0.2647659983888168,0.1256700784895192,0.40799979146178245
low+mid,low,mid,0.868421401624107,0.29532109091452063,0.17508955206783872,0.5096178837732191
low+high,low,high,0.8683460950326447,0.3024252969094624,0.1679161493413969,0.543073396192019
mid+low,mid,low,0.6889411093391056,0.2648622375429506,0.1256970211019301,0.40802001900573803
mid+mid,mid,mid,0.8678976249551389,0.29510006817232426,0.17502942203481503,0.5090897388016609
mid+high,mid,high,0.8680916284510491,0.3027571249467127,0.16788546204876045,0.5413645774496203
high+low,high,low,0.6902411550975276,0.2655338544721974,0.12599347873479685,0.4077431215675846
high+mid,high,mid,0.8683116069998296,0.29589649334593876,0.17495467699181272,0.5084128918153726
high+high,high,high,0.8672371925128471,0.30318039211254766,0.16770280705493149,0.5385668119943999
