run,seed,base,dtw,topk,total_without_trend
run_1,1,0.29928,0.16068,0.48229,0.82960
run_2,2,0.29750,0.16127,0.47987,0.82850
run_3,3,0.29350,0.15889,0.49657,0.82381
run_4,4,0.29653,0.15985,0.47809,0.82359
mean±std,,0.29670±0.00242,0.16017±0.00103,0.48421±0.00842,0.82638±0.00312
