run,seed,base,dtw,topk,total_without_trend
run_1,1,0.29516,0.15503,0.48492,0.81270
run_2,2,0.29398,0.15767,0.48350,0.81743
run_3,3,0.29975,0.15838,0.47387,0.82201
run_4,4,0.29530,0.15735,0.48667,0.81895
mean±std,,0.29605±0.00254,0.15711±0.00145,0.48224±0.00573,0.8178±0.0039
