experiment,auxiliary_group,test_group,total_loss,base_loss,dtw_loss,topk_loss
low+low,low,low,0.6982266965884865,0.27070429401439705,0.12807831219950994,0.4004481268434498
low+mid,low,mid,0.8729100837087144,0.30251502703338695,0.1754647578353371,0.49759872433468527
low+high,low,high,0.8826232529798387,0.3127440272808045,0.1716395201116785,0.5264811859578362
mid+low,mid,low,0.6983896851110649,0.2707029355582547,0.12810450473372956,0.4007864084042391
mid+mid,mid,mid,0.8727063401158102,0.3022501908721805,0.17548137367979905,0.497669434535109
mid+high,mid,high,0.8825352601054935,0.3129641849393815,0.1716373154293448,0.5254716569684892
high+low,high,low,0.6976998697110712,0.2704146120080848,0.12795438344705187,0.40064907404475264
high+mid,high,mid,0.8721969136732393,0.3020748167495857,0.17529031457789665,0.49808439923822545
high+high,high,high,0.8817478136827708,0.3127409215636055,0.17151172852791405,0.5245957412604693
