run,seed,base,dtw,topk,total_without_trend
run_1,1,0.29027,0.15477,0.48655,0.80767
run_2,2,0.29859,0.15785,0.47440,0.81976
run_3,3,0.29751,0.15804,0.47541,0.81942
run_4,4,0.29749,0.15832,0.47875,0.82109
mean±std,,0.29596±0.00383,0.15724±0.00166,0.47878±0.00551,0.81698±0.00625
