run,seed,base,dtw,topk,total_without_trend
run_1,1,0.29496,0.15618,0.48978,0.81673
run_2,2,0.30029,0.16003,0.47871,0.82798
run_3,3,0.30145,0.16223,0.47972,0.83472
run_4,4,0.29861,0.16283,0.47908,0.83313
mean±std,,0.29883±0.00283,0.16032±0.00301,0.48182±0.00532,0.82814±0.00813
