experiment,auxiliary_group,test_group,total_loss,base_loss,dtw_loss,topk_loss
low+low,low,low,0.7007221010986711,0.27135127293540673,0.1284229324257328,0.40385258131421886
low+mid,low,mid,0.8717843426570988,0.30189329029695283,0.17500516263873836,0.4995954680545227
low+high,low,high,0.8777449624946261,0.31212276452370585,0.16956820929939817,0.5288615815650545
mid+low,mid,low,0.7000031598112452,0.27093890140445354,0.1281945256980071,0.4046579349604566
mid+mid,mid,mid,0.8714976035505182,0.30142602873785385,0.175047681947044,0.49985705933554064
mid+high,mid,high,0.87771372265391,0.3119252635714734,0.16968804418153452,0.5284571072317789
high+low,high,low,0.6995358285359241,0.27076123349864906,0.12792093804945198,0.40588109494032815
high+mid,high,mid,0.8708384661626238,0.30124899013779843,0.17471783386530332,0.5008888389468406
high+high,high,high,0.8760436126839363,0.3116692968635236,0.16919879054494805,0.5276573261119405
