run,seed,base,dtw,topk,total_without_trend
run_1,1,0.29950,0.15886,0.47465,0.82315
run_2,2,0.29826,0.15752,0.47055,0.81747
run_3,3,0.30124,0.16193,0.48306,0.83478
run_4,4,0.29353,0.15753,0.49210,0.81924
mean±std,,0.29813±0.00330,0.15896±0.00207,0.48009±0.00955,0.8237±0.0078
